Breed,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,reps_lower,reps_upper
Akita,26,28,80,120,1,4
A0tolian Sheepdog,27,29,100,150,1,4
Bernese Mountain Dog,23,27,85,110,1,4
Bloodhound,24,26,80,120,1,4
Borzoi,26,28,70,100,1,4
Bullmastiff,25,27,100,130,1,4
Great Dane,32,32,120,160,1,4
Great Pyrenees,27,32,95,120,1,4
Great Swiss Mountain Dog,23,28,130,150,1,4
Irish Wolfhound,28,35,90,150,1,4
Kuvasz,28,30,70,120,5,15
Mastiff,27,30,175,190,5,15
Neopolitan Mastiff,24,30,100,150,5,15
Newfoundland,26,28,100,150,5,15
Otter Hound,24,26,65,110,5,15
Rottweiler,22,27,90,110,5,15
Saint Ber0rd,25,28,110,190,5,15
Afghan Hound,25,27,50,60,5,15
Alaskan Malamute,0,0,0,0,5,15
American Foxhound,22,25,65,70,5,15
Beauceron,24,27,100,120,5,15
Belgian Malinois,22,26,60,65,5,15
Belgian Sheepdog,22,26,60,75,5,15
Belgian Tervuren,22,26,60,75,5,15
Black And Tan Coonhound,23,27,50,75,5,15
Black Russian Terrier,25,29,80,140,5,15
Bouvier Des Flandres,23,27,75,95,5,15
Boxer,21,25,65,70,5,15
Briard,23,27,74,76,5,15
Chesapeake Bay Retriever,21,26,55,75,5,15
Clumber Spaniel,19,20,35,65,5,15
Collie (Rough) & (Smooth),22,26,50,75,16,25
Curly Coated Retriever,25,27,65,80,16,25
Doberman Pinscher,26,28,60,100,16,25
English Foxhound,22,25,65,70,16,25
English Setter,23,27,45,80,16,25
German Shepherd Dog,22,26,75,90,16,25
German Shorthaired Pointer,20,27,50,80,16,25
German Wirehaired Pointer,22,26,60,70,16,25
Giant Sch0uzer,25,28,70,75,16,25
Golden Retriever,21,24,55,75,16,25
Gordon Setter,23,27,45,80,16,25
Greyhound,27,30,60,70,16,25
Irish Setter,25,27,60,70,16,25
Komondor,26.5,35.5,80,135,16,25
Labrador Retriever,21,24,55,80,16,25
Old English Sheepdog (Bobtail),20,24,60,65,16,25
Poodle Standard,15,25,45,45,16,25
Rhodesian Ridgeback,24,27,70,85,16,25
Scottish Deerhound,28,32,75,110,16,25
Spinone Italiano,23,28,65,80,16,25
Tibetan Mastiff,24,26,140,170,16,25
Weimaraner,25,27,70,85,16,25
Airdale Terrier,22,24,45,45,16,25
American Staffordshire Terrier,17,19,40,50,16,25
American Water Spaniel,15,18,25,45,16,25
Australian Cattle Dog,17,20,35,45,16,25
Australian Shepherd,18,23,40,60,16,25
Basset Hound,14,14,40,50,16,25
Bearded Collie,20,22,40,60,16,25
Border Collie,19,21,40,40,16,25
Brittany,17,21,30,40,26,40
Bull Dog,12,16,50,60,26,40
Bull Terrier,21,22,50,70,26,40
Ca0an Dog,19,24,35,55,26,40
Chinese Shar Pei,18,20,45,55,26,40
Chow Chow,19,22,45,55,26,40
Cocker Spaniel-American,15,16,22,28,26,40
Cocker Spaniel-English,15,17,25,35,26,40
Dalmatian,19,23,45,70,26,40
English Springer Spaniel,20,20,45,55,26,40
Field Spaniel,18,18,35,50,26,40
Flat Coated Retriever,22,23,60,70,26,40
Finnish Spitz,15,20,31,35,26,40
Harrier,19,21,40,60,26,40
Ibizan Hound,22,29,42,55,26,40
Irish Terrier,18,19,25,27,26,40
Irish Water Spaniel,10,23,45,65,26,40
Keeshond,17,19,35,50,26,40
Kerry Blue Terrier,17,21,30,45,26,40
Norwegian Elkhound,19,20,40,60,26,40
Nova Scotia Duck Tolling Retriever,17,21,35,50,26,40
Petit Basset Griffon Vendeen,13,15,30,40,26,40
Pharaoh Hound,21,25,45,55,26,40
